Tenant Brokers,Tenant Brokerage Firms,Tenant SIC,Tenant Naics,Tenant Industry,Tenant Parent,Tenant Status,Tenant Websites,Tenant Phone Number,Tenant Revenue (USD),Tenant Employees,Landlord Brokers,Landlord Brokerage Firms,Volts,Parking Notes,Occupancy %,Lot Size,Elevators,Amps,Retail Anchor,Parking Lot Type,Parking Ratio,Building Floors,Building Size,Submarket,Property Subtype,Property Type,Building Name,Building Class,State,Zip Code,Cross Streets,Days On Market,Street Frontage,Corner Unit,Vented Space,Selling Basement,Office Portion,Rail,Loading Docks,Doors,Clear Height,Sprinkler,Load Factor,Suite,Retail Notes,Last Updated,Date Created,Renewal Options,Rent Review Dates,Commencement Date,Total Transaction Size,Office Portion Rent (USD) (per year),Blended Rent (USD) (per year),Sublessor,Break Option Type,Pro Rata Percent,Annual Taxes,Operating Expenses Notes,Operating Expenses (USD),Operating Expenses Type,Concessions Notes,Current Rent (USD),Sublease,Work Type,Additional Rent Free,Percentage Rent,Asking Rent (Gross Annual) (USD),Starting Rent (Gross Annual) (USD),Asking Rent (USD) (per year),Free Rent Type,Lease Type,Year Built,Year Renovated,Tenant Headquarters,Tenant Tickers,Rent Bump Year,Execution Date,Break Option Dates,Current Landlord,Transaction Quarter,Street Address,City,Tenant Name,Space Type,Tenant Ownership,Transaction SQFT,Transaction Type,Starting Rent (USD) (per year),Rent Schedule (USD),Rent Bump Dollar (USD),Rent Bump Percent,Free Rent,Work Value (USD),Effective Rent (USD) (per year),Floors Occupied,Lease Term,Expiration Date,Comments,Geo Point
,,3721,336411,"Transportation, Warehousing & Storage",,Operating,"http://www.boeing.com/, https://www.boeing.com/",+1 703 414 6338,61421000000,142000,,,,,,,,,,,,6,529822,Oklahoma,,Office,Boeing Office Campus,,OK,73135,,,,,,,,,,,,,,,,2019-05-13,2019-05-13,,,2019-04-01,,,,,,,,,,,,16.20,No,,,,,,,,,2012,,"100 N. Riverside Plaza Chicago, IL 60606-1596, United States",BA (NYSE),,2018-12-01,,Gardner Tanenbaum Holdings,2018 - Q4,6005 South Air Depot Boulevard,Oklahoma City,Boeing,Office,Public,320000,Extension,16.20,,,,,,16.20,,5 years,2024-03-31,,"(35.403812, -97.407351)"
,,4731,488510,"Transportation, Warehousing & Storage",,Operating,https://www.chrobinson.com/,+1 952 683 2800,15450980000,15177,,,,,,,,,,,,,30000,Oklahoma,,Office,Hudiburg MT Flex Industrial,B,OK,73108,,,,,,,,,,,,,,,,2019-09-10,2019-09-10,,,2012-01-12,,,,,,,,,1.21,,$10.00 / RSF Estimated,,No,TI,,,,,,,NNN,2002,2007,"14701 Charlson Road Eden Prairie, MN 55347-5076, United States",CHRW (NASD),,2012-01-10,,,2012 - Q1,416 Hudiburg Circle,Oklahoma City,C.H. Robinson Worldwide,Office,Public,15000,Renewal,8.15,,,,0.0 months,10,6.15,,5 years,2017-01-11,,"(35.460968, -97.590546)"
,,6351,524126,Real Estate,,Operating,http://www.oldrepublic.com/,+1 312 346 8100,6614300000,9000,,,,,,,,,,,,,,Oklahoma,,Office,,B,OK,73130,,,,,,,,,,,,,,,,2019-09-10,2019-09-10,,,2011-10-01,,,,,,,,,,,,,No,,,,,,,,,,,"307 N Michigan Ave Chicago, IL 60601-5311, United States",ORI (NYSE),,2011-08-30,,,2011 - Q3,1338 South Douglas Boulevard,Midwest City,Old Republic International,Office,Public,2694,Renewal,12.57,,,,0.0 months,,12.57,,5 years,2016-09-30,,"(35.452416, -97.370465)"
,,6519,531110,Real Estate,,Operating,https://www.iwgplc.com/,+41 41 723 23 23,3441080000,9615,,,,,,8.41,,,,,,,136453,Oklahoma,Mixed-Use,Mixed-Use,Post Rock Plaza,,OK,74133,,,,,,,,,,,,,,8211-100-104,,2023-02-10,2020-04-07,,,2020-03-01,,,,,,,,,,,,,No,,,,,,,,NNN,2009,,"Dammstrasse 19 Zug, ZG 6300, Switzerland",IWG (LON),,2019-11-01,,,2019 - Q4,8215 South 74th East Avenue,Tulsa,Regus,Office,Public,9000,,,,,,,0,,,"7 years,4 months",2027-07-01,,"(36.044486, -95.893525)"
,,8711,541330,Energy,,Operating,"http://www.englobal.com/, https://www.englobal.com/",+1 281 878 1000,38740000,198,,,,,,,,,,,,,,Oklahoma,,Office,,B,OK,74137,,,,,,,,,,,,,,,,2020-04-23,2020-04-23,,,2020-01-01,,,,,,,,,,,,,No,,,,,,,,,,,"11740 Katy Fwy Energy Tower Iii, 11th Floor Houston, TX 77079, United States",ENG (NASD),,2019-09-25,,Oral Roberts University,2019 - Q3,2488 East 81st Street,Tulsa,ENGlobal US,Office,Public,46682,Extension,10.50,10.50/2y,,,,,10.50,,2 years,2021-12-31,,"(36.0427978, -95.95280989999999)"
,,6719,333611,Technology Hardware & Equipment,,Operating,https://www.siemens.com/global/de/,+49 89 63600,94275260000,385000,,,,,,,,,,,,1,22500,Oklahoma,Flex/R&D,Industrial,Tandem Business Park,B,OK,74146,,,,,,,,,,,,,,,,2020-04-23,2020-04-23,,,2019-09-01,,,,,,,,,,,,,No,TI,,,,,,,NNN,,,Germany,SIE (ETR),,2019-05-10,,DRA Advisors,2019 - Q2,12101 East 51st Street,Tulsa,Siemens,Office,Public,5073,Extension,8.75,"8.75/1y, 8.93/1y, 9.10/1y",,,,8,6.26,,3 years,2022-08-31,,"(36.09003, -95.84179)"
,,1382,211120,Energy,,Operating,https://www.devonenergy.com,+1 405 552 8183,6220000000,1800,,,,,,,,,,,,14,273640,Oklahoma,,Office,Corporate Tower,B,OK,73102,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2003-11-01,,,,,,,,,,,,,No,,,,,,,,Full Service,1979,2001,"333 W Sheridan Ave Oklahoma City, OK 73102-5010, United States",DVEGP (OTC),,2003-07-01,,,2003 - Q3,101 North Robinson Avenue,Oklahoma City,Devon Energy,Office,Public,19251,New Lease,11.50,,0.00/1y,,0.0 months,0,11.50,,1 years,2004-11-01,,"(35.468048, -97.516885)"
,,8721,561310,Commercial & Professional Service,,Operating,http://www.volt.com/,+1 516 228 6770,997090000,2400,,,,,,,,,,,,3,54592,Oklahoma,,Office,,C,OK,73132,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2001-06-01,,,,,,,,,,,,,No,,,,,,,,Full Service,1982,2019,"50 Charles Lindbergh Blvd Ste 206 Uniondale, NY 11553-3600, United States",VOLT (AMEX),,2001-02-01,,,2001 - Q1,5601 Northwest 72nd Street,Warr Acres,"Volt Information Sciences, Inc.",Office,Public,1924,Renewal,11.50,,0.00/1y,,0.0 months,,11.50,,1 years,2002-06-01,,"(35.545081, -97.61155)"
,,7371,511210,Technology Hardware & Equipment,,Operating,https://www.celestica.com/,+1 416 448 2211,5888300000,28700,,,,,,,,,,,,6,103247,Oklahoma,,Office,Lake Park Tower,B,OK,73116,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2004-08-12,,,,,,,,,,,,,No,,,,,,,,Full Service,1982,2000,"5140 Yonge St Suite 1900 North York, ON M2N 6L7, Canada",CLS (TSE),,2004-04-12,,Park Lake Partnership,2004 - Q2,6525 North Meridian Avenue,Oklahoma City,Celestica,Office,Public,3760,New Lease,12,,0.00/1y,,0.0 months,,12,,2 years,2006-08-12,,"(35.538533, -97.60187499999999)"
,,2834,325412,"Pharmaceuticals, Biotechnology & Life Sciences",,Operating,https://www.bayer.de/,+49 214 301,47554350000,104711,,,,,,,,,,,,,,Oklahoma,,Office,,,OK,73134,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2002-09-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1999,,Germany,BAYN (ETR),,2002-05-01,,,2002 - Q2,3121 Quail Springs Parkway,Oklahoma City,Bayer,Office,Public,1240,New Lease,19.50,,0.00/1y,,0.0 months,45,10.50,,5 years,2007-09-01,,"(35.615442, -97.57292)"
,,6399,524126,Insurance,,Operating,https://www.progressive.com/,+1 440 461 5000,49586400000,49000,,,,,,,,,,,,10,107946,Oklahoma,,Office,Brookline Office Building,B,OK,73112,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2001-07-01,,,,,,,,,,,,,No,,,,,,,,Full Service,1974,1999,"6300 Wilson Mills Rd Mayfield, OH 44143, United States",PGR (NYSE),,2001-03-01,,5100 Brookline,2001 - Q1,5100 North Brookline Avenue,Oklahoma City,Progressive,Office,Public,4616,Renewal,14.50,,0.00/1y,,0.0 months,,14.50,,1 years,2002-07-01,,"(35.5228243, -97.56751779999999)"
,,6029,522110,Banks,,Operating,http://firstcapitalbank.co.zw,+263 4 758 280,48110000,743,,,,,,,,,,,,,,Oklahoma,,Office,,B,OK,73116,,,,,,,,,,,,,,,,2021-04-20,2020-09-16,,,2002-02-01,,,,,,,,,,,,,No,,,,,,,,Full Service,,,Zimbabwe,FCA (ZIM),,2001-10-01,,,2001 - Q4,3501 Northwest 63rd Street,Oklahoma City,First Capital Bank,Office,Public,24311,Renewal,10.50,,0.00/1y,,0.0 months,0,10.50,,1 years,2003-02-01,,"(35.537255, -97.579493)"
,,6029,522110,Banks,,Operating,www.royalbank.com,+1 416 955 7806,35735140000,81000,,,,,,,,,,,,4,147000,Oklahoma,,Office,Waterford Office Building,B,OK,73118,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2003-03-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1984,,"200 Bay St., South Tower Toronto, ON M5J 2J5, Canada",RY.PR.F (TSE),,2002-11-01,,,2002 - Q4,6301 Waterford Boulevard,Oklahoma City,RBC,Office,Public,6679,New Lease,14,,0.00/1y,,0.0 months,21,9.80,,5 years,2008-03-01,,"(35.535371, -97.545959)"
,,5047,334510,Health Care Equipment & Services,,Operating,www.abbottinvestor.com,+1 224 667 6100,31904000000,107000,,,,,,,,,,,,,,Oklahoma,,Office,,,OK,73013,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2002-09-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,,,"100 Abbott Park Road Abbott Park, IL 60064-3500, United States",ABT (NYSE),,2002-05-01,,,2002 - Q2,2601 Kelley Pointe Parkway,Edmond,Abbott Laboratories,Office,Public,1216,New Lease,14.93,,0.00/1y,,4.0 months,20,9.93,,5 years,2007-09-01,,"(35.6285159, -97.49839779999999)"
,,5012,336110,Automobiles & Components,,Operating,https://www.gm.com/,+1 313 556 5000,1.47211E+11,157000,,,,,,,,,,,,16,319708,Oklahoma,,Office,50 Penn Place,B,OK,73118,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,1999-06-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1973,,"300 Renaissance Center Detroit, MI 48265-3000, United States","GM (NYSE), GM PR B (NYSE)",,1999-02-01,,,1999 - Q1,1900 Northwest Expressway,Oklahoma City,General Motors,Office,Public,1413,New Lease,17,,0.00/1y,,0.0 months,6,15,,3 years,2002-06-01,,"(35.522443, -97.546177)"
,,1382,211120,Energy,,Operating,http://www.eogresources.com/,+1 713 651 7000,17550710000,2800,,,,,,,,,,,,10,268800,Oklahoma,,Office,Caliber Center,A,OK,73112,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2004-05-15,,,,,,,,,,,,,No,,,,,,,,Full Service,1976,1995,"1111 Bagby St Lbby 2 Houston, TX 77002-2589, United States",EOG (NYSE),,2004-01-15,,,2004 - Q1,3817 Northwest Expressway,Oklahoma City,EOG Resources,Office,Public,43223,New Lease,10.90,,0.00/1y,,0.0 months,0,10.90,,5 years,2009-05-15,,"(35.535782, -97.585832)"
,,1382,211130,Energy,,Operating,http://www.chk.com/,+1 405 848 8000,9705000000,2350,,,,,,,,,,,,22,299349,Oklahoma,,Office,The Tower,B,OK,73118,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2004-04-15,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1982,2000,"6100 N Western Ave Oklahoma City, OK 73118, United States",CHKDH (OTC),,2003-12-15,,,2003 - Q4,1601 Northwest Expressway,Oklahoma City,Chesapeake Energy,Office,Public,13040,New Lease,15.50,,0.00/1y,,0.0 months,5,12.17,,"1 years,6 months",2005-10-15,,"(35.5232171, -97.5390953)"
,,6411,5242,Insurance,,Operating,,+1 212 345 5000,20835000000,83000,,,,,,,,,,,,14,273640,Oklahoma,,Office,Corporate Tower,B,OK,73102,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2003-11-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1979,2001,"1166 Avenue Of The Americas New York, NY 10036, United States",MMC (NYSE),,2003-07-01,,,2003 - Q3,101 North Robinson Avenue,Oklahoma City,Marsh & McLennan Companies,Office,Public,5295,New Lease,13.50,,0.00/1y,,0.0 months,30,9.21,,7 years,2010-11-01,,"(35.468048, -97.516885)"
,,6399,524126,Insurance,,Operating,https://www.progressive.com/,+1 440 461 5000,49586400000,49000,,,,,,,,,,,,,,Oklahoma,,Office,,,OK,73120,,,,,,,,,,,,,,,,2020-09-16,2020-09-16,,,2003-11-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,,,"6300 Wilson Mills Rd Mayfield, OH 44143, United States",PGR (NYSE),,2003-07-01,,,2003 - Q3,9211 Lake Hefner Parkway,Oklahoma City,Progressive Casualty,Office,Public,12446,New Lease,21.70,,0.00/1y,,0.0 months,22,17.30,,5 years,2008-11-01,,"(35.563275, -97.57837)"
,,7371,541511,Software & Information,,Operating,https://riotblockchain.com/,+1 303 794 2000,7320000,6,,,,,,,,,,,,,1700000,Oklahoma,Communication/Data Center,Industrial,,B,OK,73127,,,,,,,,,,,,,,,,2020-10-14,2020-10-14,,,2020-01-01,,,,,,,,,,,,,No,,,,,,,,NNN,1963,,"202 6th St Ste 401 Castle Rock, CO 80104-1724, United States",RIOT (NASD),,2020-01-01,,Zerby Interests,2020 - Q1,7725 West Reno Avenue,Oklahoma City,Riot Blockchain,Office,Public,107600,Renewal,21.18,,,,,,21.18, Ground,4 months,2020-05-01,,"(35.4653434, -97.648623)"
,,6311,524113,Insurance,,Operating,https://www.aflac.com/,+1 706 323 3431,22329000000,10324,,,,,,,,,,,,,4802,Oklahoma,,Office,Brookhaven Office Bldg,,OK,73072,,,,,,,,,,,,,,,,2020-10-14,2020-10-14,,,2020-03-01,,,,,,,,,,,,,No,,,,,,,,NNN,2016,,"1932 Wynnton Rd Columbus, GA 31906, United States",AFL (NYSE),,2020-03-01,,,2020 - Q1,2244 36th Avenue Northwest,Norman,AFLAC,Office,Public,2356,New Lease,17.83,,,,,,17.83, Ground,2 years,2022-03-01,,"(35.2460077, -97.4954123)"
,,8082,621610,Health Care Equipment & Services,,Operating,https://www.amedisys.com/,+1 225 292 2031,2196090000,21000,,,,,,,,,,,,,17795,Oklahoma,,Office,2900 Center - 2865 E Skelly Dr,,OK,74105,,,,,,,,,,,,,,,,2020-10-16,2020-10-16,,,2020-03-01,,,,,,,,,,,,17,No,,,,,,,,Full Service,1972,,"3854 American Way Ste A Baton Rouge, LA 70816-4013, United States",AMED (NASD),,2020-01-01,,,2020 - Q1,2865 East Skelly Drive,Tulsa,Amedisys Healthcare,Office,Public,5729,New Lease,17,,,,,,17, Ground,5 years,2025-03-01,,"(36.091342, -95.946275)"
,,6029,522110,Financial Services,,Operating,www.wellsfargojobs.com,+1 866 878 5865,73785000000,239209,,,,,,,,,,,,,732122,Oklahoma,,Office,Leadership Square,A,OK,73102,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2009-03-10,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1984,2005,"420 Montgomery Street San Francisco, CA 94163, United States","WFC (NYSE), WFC PR J CL (NYSE), WFC PR L (NYSE), WFCNP (OTC)",,2008-11-10,,,2008 - Q4,211 North Robinson Avenue,Oklahoma City,Wells Fargo,Office,Public,3529,Expansion,18.29,,0.00/1y,,0.0 months,18,15.29,,6 years,2015-03-10,,"(35.469269, -97.51687)"
,,4731,488510,"Transportation, Warehousing & Storage",,Operating,https://www.chrobinson.com/,+1 952 683 2800,15450980000,15177,,,,,,,,,,,,22,299349,Oklahoma,,Office,The Tower,B,OK,73118,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2009-09-07,,,,,,,,,,,,,No,,,,,,,,Full Service,1982,2000,"14701 Charlson Road Eden Prairie, MN 55347-5076, United States",CHRW (NASD),,2009-05-07,,,2009 - Q2,1601 Northwest Expressway,Oklahoma City,C.H. Robinson Worldwide,Office,Public,8163,Renewal,17.56,,0.00/1y,,0.0 months,,17.56,,1 years,2010-09-07,,"(35.5232171, -97.5390953)"
,,1382,211120,Energy,,Operating,https://www.devonenergy.com,+1 405 552 8183,6220000000,1800,,,,,,,,,,,,14,273640,Oklahoma,,Office,Corporate Tower,B,OK,73102,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2008-06-28,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1979,2001,"333 W Sheridan Ave Oklahoma City, OK 73102-5010, United States",DVEGP (OTC),,2008-02-28,,,2008 - Q1,101 North Robinson Avenue,Oklahoma City,Devon Energy,Office,Public,2717,Expansion,14.50,,0.00/1y,,0.0 months,8,12.62,,"4 years,3 months",2012-09-28,,"(35.468048, -97.516885)"
,,1311,211120,Energy,,Operating,www.osageenergyinc.com,+1 619 677 3956,12680000,9,,,,,,,,,,,,,,Oklahoma,,Office,,,OK,73112,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2009-02-15,,,,,,,,,,,,,No,,,,,,,,Full Service,,,"2445 5th Ave Ste 310 San Diego, CA 92101-1665, United States",OEDVQ (OTC),,2008-10-15,,,2008 - Q4,2601 Northwest Expressway,Oklahoma City,Exploration & Development Company,Office,Public,685,Renewal,14.40,,0.00/1y,,0.0 months,,14.40,,1 years,2010-02-15,,"(35.525852, -97.559222)"
,,2721,511110,,,Operating,"http://lee.net/, https://lee.net/",+1 563 383 2100,792500000,5613,,,,,,,,,,,,5,101217,Oklahoma,,Office,Grand Center,B,OK,73112,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2010-06-15,,,,,,,,,,,,,No,,,,,,,,Full Service,1982,,"4600 E 53rd Street Davenport, IA 52807, United States","LEE (NASD), LEENB (OTC)",,2010-02-15,,,2010 - Q1,5400 North Grand Boulevard,Oklahoma City,Lee Centracco,Office,Public,2360,Renewal,16.50,,0.00/1y,,0.0 months,,16.50,,5 years,2015-06-15,,"(35.5258804, -97.57607399999999)"
,,4911,221112,Utilities,,Operating,https://www.ogeenergy.com/,+1 405 553 3000,3395500000,2360,,,,,,,,,,,,,732122,Oklahoma,,Office,Leadership Square,A,OK,73102,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2010-11-12,,,,,,,,,,,,,No,,,,,,,,Full Service,1984,2005,"321 N Harvey Ave Po Box Oklahoma City, OK 73102, United States",OGE (NYSE),,2010-07-12,,,2010 - Q3,211 North Robinson Avenue,Oklahoma City,OGE Energy Corporation,Office,Public,22254,Renewal,17,,0.00/1y,,0.0 months,,17,,"4 years,5 months",2015-04-12,,"(35.469269, -97.51687)"
,,6331,524126,Insurance,,Operating,,+1 847 402 5000,50776000000,54300,,,,,,,,,,,,,50500,Oklahoma,,Office,,A,OK,73134,,,,,,,,,,,,,,,,2021-05-11,2021-05-11,,,2010-05-01,,,,,,,,,,,,,No,TI,,,,,,,Full Service,1994,,"3100 Sanders Rd Northbrook, IL 60062, United States",ALL (NYSE),,2010-01-01,,,2010 - Q1,3600 Northwest 138th Street,Oklahoma City,Allstate,Office,Public,15598,New Lease,18.25,,0.00/1y,,0.0 months,20,15.39,,7 years,2017-05-01,,"(35.611269, -97.582541)"
